,name,price,product_url,image,FreeShip,Rating,Badge_Under_Price,Be_Paid_By_Installments,Free_Gifts
20,Điện Thoại Samsung Galaxy M62 (8GB/256GB) - Hàng Chính Hãng,9.190.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-m62-8gb-256gb-hang-chinh-hang-p104038451.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.104038451,https://salt.tikicdn.com/cache/200x200/ts/product/d5/84/6f/a2f678ed710744f27cedbf7e56a16b27.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,92%,,True,
21,Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,18.790.000 ₫,https://tiki.vn/dien-thoai-iphone-12-64gb-hang-chinh-hang-p70766415.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.70766415,https://salt.tikicdn.com/cache/200x200/ts/product/e1/66/c2/47859ea06eb4b00ad41bbe81636e4373.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/e1/66/c2/47859ea06eb4b00ad41bbe81636e4373.jpg,96%,,True,
22,Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,20.890.000 ₫,https://tiki.vn/dien-thoai-iphone-12-128gb-hang-chinh-hang-p71198347.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71198347,https://salt.tikicdn.com/cache/200x200/ts/product/79/d8/5c/726efb19f20a31871a1cc1bbe34458cf.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,,,,
23, Điện thoại Xiaomi Poco X3 Pro 6GB l 128GB - Hàng chính hãng,5.790.000 ₫,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-6gb-l-128gb-hang-chinh-hang-p88100602.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.88100602,https://salt.tikicdn.com/cache/200x200/ts/product/80/34/36/cfb8c025dc232930700cdf45d2d8a8de.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,,
24,Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,31.490.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-max-256gb-hang-chinh-hang-p71197117.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71197117,https://salt.tikicdn.com/cache/200x200/ts/product/27/55/4e/c9089692a19179dbde1aa007855f9c36.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/27/55/4e/c9089692a19179dbde1aa007855f9c36.jpg,100%,True,True,
25,Điện Thoại Di Động GSM ZONO N8110 2.4inch – Hàng Nhập Khẩu - Vàng,209.000 ₫,https://tiki.vn/dien-thoai-di-dong-gsm-zono-n8110-2-4inch-hang-nhap-khau-vang-p75453884.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75453884,https://salt.tikicdn.com/cache/200x200/ts/product/2d/c1/61/0d6e02395e388efd5960d48eb3a36e3a.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,80%,True,,
26,Điện Thoại Samsung Galaxy A12 (4GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,3.689.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74935377.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74935377,https://salt.tikicdn.com/cache/200x200/ts/product/8a/62/fd/f9ef50c7729642b5912b3774e38a862b.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/8a/62/fd/f9ef50c7729642b5912b3774e38a862b.jpg,92%,,True,
27,Điện Thoại Nokia 215 4G - Hàng Chính Hãng,649.000 ₫,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p72882726.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.72882726,https://salt.tikicdn.com/cache/200x200/ts/product/82/75/da/c8fdc7c380d4fb2e29c5e1c95195bb27.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/82/75/da/c8fdc7c380d4fb2e29c5e1c95195bb27.jpg,96%,,,
28,Máy Tính Bảng Huawei Matepad | Màn Hình 2K Fullview | Hiệu Suất Mạnh Mẽ | Âm Thanh Vòm Sống Động | Hàng Chính Hãng,6.490.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-man-hinh-2k-fullview-hieu-suat-manh-me-am-thanh-vom-song-dong-hang-chinh-hang-p90147619.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.90147619,https://salt.tikicdn.com/cache/200x200/ts/product/49/3d/37/fe820558e7731a308400c7c5b79aa940.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,True,
29,Điện thoại Energizer E100 -Hàng  Chính Hãng,419.000 ₫,https://tiki.vn/dien-thoai-energizer-e100-hang-chinh-hang-p49541097.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.49541097,https://salt.tikicdn.com/cache/200x200/ts/product/98/25/89/eb16c85cd762e6a276774d5678ec3cdf.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/98/25/89/eb16c85cd762e6a276774d5678ec3cdf.jpg,82%,True,,
